"aid","tid","gid","wid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1","11","2149","20","1","0","0.0000","0","0","0","0.0000","0","0"
"1","11","2149","21","18","22","1.2222","6","0","27","1.5000","6","0"
"1","11","2149","23","1","0","0.0000","0","0","1","1.0000","1","1"
"1","12","54","17","1","5","5.0000","5","5","0","0.0000","0","0"
"1","12","54","18","1","1","1.0000","1","1","2","2.0000","2","2"
"1","12","117","18","1","5","5.0000","5","5","3","3.0000","3","3"
"1","12","117","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","12","449","21","1","2","2.0000","2","2","0","0.0000","0","0"
"1","12","484","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","12","1189","21","1","1","1.0000","1","1","3","3.0000","3","3"
"1","12","1322","17","1","5","5.0000","5","5","2","2.0000","2","2"
"1","12","1341","21","1","2","2.0000","2","2","13","13.0000","13","13"
"1","12","1422","28","2","0","0.0000","0","0","0","0.0000","0","0"
"1","12","1430","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","12","1667","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","12","1714","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","12","1869","17","1","1","1.0000","1","1","0","0.0000","0","0"
"1","12","2149","4","2","0","0.0000","0","0","12","6.0000","8","4"
"1","12","2149","7","1","0","0.0000","0","0","11","11.0000","11","11"
"1","12","2149","10","1","0","0.0000","0","0","0","0.0000","0","0"
"1","12","2149","17","7","18","2.5714","9","0","40","5.7143","16","0"
"1","12","2149","18","1","2","2.0000","2","2","0","0.0000","0","0"
"1","12","2149","21","10","21","2.1000","7","0","8","0.8000","3","0"
"1","13","108","23","1","9","9.0000","9","9","8","8.0000","8","8"
"1","13","131","21","2","4","2.0000","2","2","3","1.5000","3","0"
"1","13","274","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","13","449","21","3","2","0.6667","2","0","1","0.3333","1","0"
"1","13","553","7","1","0","0.0000","0","0","0","0.0000","0","0"
"1","13","553","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","13","699","17","2","2","1.0000","2","0","2","1.0000","2","0"
"1","13","740","20","1","1","1.0000","1","1","1","1.0000","1","1"
"1","13","1093","10","1","2","2.0000","2","2","1","1.0000","1","1"
"1","13","1158","17","1","6","6.0000","6","6","0","0.0000","0","0"
"1","13","1195","17","1","1","1.0000","1","1","0","0.0000","0","0"
"1","13","1229","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","13","1233","21","2","1","0.5000","1","0","0","0.0000","0","0"
"1","13","1236","21","1","0","0.0000","0","0","2","2.0000","2","2"
"1","13","1299","17","3","6","2.0000","4","0","4","1.3333","2","0"
"1","13","1299","20","1","1","1.0000","1","1","1","1.0000","1","1"
"1","13","1318","18","1","0","0.0000","0","0","1","1.0000","1","1"
"1","13","1322","17","2","13","6.5000","11","2","0","0.0000","0","0"
"1","13","1343","17","1","1","1.0000","1","1","1","1.0000","1","1"
"1","13","1396","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","13","1430","17","6","10","1.6667","7","0","13","2.1667","8","0"
"1","13","1430","20","1","0","0.0000","0","0","0","0.0000","0","0"
"1","13","1430","21","2","4","2.0000","4","0","9","4.5000","8","1"
"1","13","1436","17","8","9","1.1250","2","1","0","0.0000","0","0"
"1","13","1548","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","13","1714","17","1","4","4.0000","4","4","0","0.0000","0","0"
"1","13","1802","23","1","1","1.0000","1","1","0","0.0000","0","0"
"1","13","1810","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","13","1849","28","1","8","8.0000","8","8","1","1.0000","1","1"
"1","13","1869","17","2","35","17.5000","30","5","0","0.0000","0","0"
"1","13","1930","17","2","0","0.0000","0","0","1","0.5000","1","0"
"1","13","1998","7","1","1","1.0000","1","1","0","0.0000","0","0"
"1","13","2065","20","1","1","1.0000","1","1","7","7.0000","7","7"
"1","13","2066","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","13","2149","17","5","16","3.2000","13","0","6","1.2000","6","0"
"1","13","2149","18","1","4","4.0000","4","4","0","0.0000","0","0"
"1","13","2149","20","1","10","10.0000","10","10","16","16.0000","16","16"
"1","13","2149","21","10","5","0.5000","2","0","9","0.9000","5","0"
"1","14","275","17","1","9","9.0000","9","9","0","0.0000","0","0"
"1","14","951","17","1","21","21.0000","21","21","14","14.0000","14","14"
"1","14","2149","15","1","0","0.0000","0","0","2","2.0000","2","2"
"1","14","2149","18","4","7","1.7500","3","1","3","0.7500","1","0"
"1","14","2149","21","4","4","1.0000","1","1","3","0.7500","2","0"
