"gname","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Ajnad al-Sham","1","2","2.0000","2","2","13","13.0000","13","13"
"Ajnad Misr","12","5","0.4167","2","0","50","4.1667","12","1"
"Akhil Terai Mukti Morcha (ATMM)","9","3","0.3333","1","0","30","3.3333","25","0"
"Al Bayda Province of the Islamic State","1","4","4.0000","4","4","8","8.0000","8","8"
"Al-Adl Wal Ihsane","3","3","1.0000","1","1","0","0.0000","0","0"
"Al-Ahwaz Arab People's Democratic Front","2","10","5.0000","9","1","19","9.5000","15","4"
"Al-Aqsa Martyrs Brigade","61","180","2.9508","24","0","875","14.3443","103","0"
"Al-Arifeen","4","6","1.5000","3","0","51","12.7500","45","0"
"Al-Ashtar Brigades","2","4","2.0000","3","1","11","5.5000","11","0"
"Al-Badr","1","0","0.0000","0","0","0","0.0000","0","0"
"Al-Borkan Liberation Organization","1","0","0.0000","0","0","1","1.0000","1","1"
"Al-Faran","1","0","0.0000","0","0","0","0.0000","0","0"
"Al-Fatah","31","66","2.1290","42","0","167","5.3871","76","0"
"Al-Furqan (Tunisia)","1","0","0.0000","0","0","1","1.0000","1","1"
"Al-Furqan Brigades","2","0","0.0000","0","0","2","1.0000","2","0"
"Al-Gama'at al-Islamiyya (IG)","210","417","1.9857","58","0","314","1.4952","15","0"
"Al-Hadid","1","0","0.0000","0","0","0","0.0000","0","0"
"Al-Hamas Mujahideen","1","0","0.0000","0","0","0","0.0000","0","0"
"Al-Haramayn Brigades","3","5","1.6667","5","0","147","49.0000","145","0"
"Al-Intiqami al-Pakistani","2","9","4.5000","5","4","24","12.0000","20","4"
"Al-Islah Party","4","26","6.5000","25","0","7","1.7500","3","0"
"Al-Ittihaad al-Islami (AIAI)","5","23","4.6000","15","1","41","8.2000","40","0"
"Al-Jehad","2","1","0.5000","1","0","0","0.0000","0","0"
"Al-Jihad (Pakistan)","1","0","0.0000","0","0","0","0.0000","0","0"
"Al-Khobar","9","11","1.2222","10","0","57","6.3333","30","0"
"Al-Ma'unah","1","2","2.0000","2","2","0","0.0000","0","0"
"Al-Madina","2","4","2.0000","4","0","0","0.0000","0","0"
"Al-Mansoorian","6","32","5.3333","10","2","66","11.0000","22","4"
"Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)","4","76","19.0000","69","0","29","7.2500","8","6"
"Al-Mujahedin Brigades (Palestine)","1","0","0.0000","0","0","0","0.0000","0","0"
"Al-Naqshabandiya Army","14","39","2.7857","16","0","88","6.2857","12","0"
"Al-Nasireen Group","2","10","5.0000","8","2","38","19.0000","36","2"
"Al-Nasirin (India)","1","0","0.0000","0","0","7","7.0000","7","7"
"Al-Nawaz","1","2","2.0000","2","2","10","10.0000","10","10"
"Al-Nusrah Front","82","573","6.9878","57","0","1757","21.4268","370","0"
"Al-Qaida","46","751","16.3261","224","0","7811","169.8043","4000","0"
"Al-Qaida in Iraq","277","2824","10.1949","250","0","6714","24.2383","750","0"
"Al-Qaida in Saudi Arabia","3","25","8.3333","17","0","212","70.6667","122","0"
"Al-Qaida in the Arabian Peninsula (AQAP)","387","1528","3.9483","110","0","1745","4.5090","215","0"
"Al-Qaida in the Indian Subcontinent","6","3","0.5000","1","0","1","0.1667","1","0"
"Al-Qaida in the Islamic Maghreb (AQIM)","121","425","3.5124","44","0","764","6.3140","160","0"
"Al-Qaida in Yemen","6","12","2.0000","9","0","23","3.8333","19","0"
"Al-Qaida Kurdish Battalions (AQKB)","1","19","19.0000","19","19","11","11.0000","11","11"
"Al-Qaida Organization for Jihad in Sweden","1","0","0.0000","0","0","0","0.0000","0","0"
"Al-Qaqa Brigade","2","1","0.5000","1","0","0","0.0000","0","0"
"Al-Sa'iqa","1","1","1.0000","1","1","0","0.0000","0","0"
